,Kurzbeschreibung,Beschreibung,Einheit
erdb14,Erdbodenzustand zum Beobachtungstermin II,"Erdbodenzustand um 14 Uhr MEZ bzw. MOZ - Tabelle klima.tag_code_erdboden - klima.tag_code_erdboden={0: trocken, 1: feucht, 2: nass (kleinere oder größere Pfützen), 3: hartgefroren und trocken, 4: Glatteis, Schnee oder Schneematsch, 5: Eis,Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken), 6: Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen), 7: Eis, Schnee oder Schneematsch, vollständig bedeckt, 8: lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen), 9: lockerer, trockener Schnee, Boden vollständig bedeckt, 99: rdbodenzustand wurde nicht beobachtet}",Code
erdb19,Erdbodenzustand zum Beobachtungstermin III,"Erdbodenzustand um 19 Uhr MEZ bzw. MOZ / vor 1971: 21 Uhr MOZ - Tabelle klima.tag_code_erdboden - klima.tag_code_erdboden={0: trocken, 1: feucht, 2: nass (kleinere oder größere Pfützen), 3: hartgefroren und trocken, 4: Glatteis, Schnee oder Schneematsch, 5: Eis,Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken), 6: Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen), 7: Eis, Schnee oder Schneematsch, vollständig bedeckt, 8: lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen), 9: lockerer, trockener Schnee, Boden vollständig bedeckt, 99: rdbodenzustand wurde nicht beobachtet}",Code
erdmin,5 cm Lufttemperatur Minimum,Lufttemperatur +5cm Nachtminimum zum Beobachtungstermin I (19 Uhr MEZ Vortag bis 7 Uhr MEZ),°C
neuschnee,Neuschneehöhe zum Beobachtungstermin I,"Neuschneehöhe, Tageswert um 7 Uhr MEZ bzw. MOZ - Gemessen um 07:00 Uhr MEZ bzw. MOZ,  (-1 = kein Schnee, 0 = unter 1 cm)",cm
nied,Niederschlagssumme,"für reine Beobachtungsstationen: 24-stündiger Handniederschlag (KSE):  7 MEZ aktueller Tag - 7 MEZ folgender Tag, sonst Summe der 12-stündigen Handniederschläge nied19 und nied07 / für reine Automatenstationen und Stationen mit Beobachtung und Automat: Summe der Minutenwerte von RR: 07:01 MEZ  - 07:00 MEZ Folgetag / Spuren aus RRM berechnet, wenn vorhanden; -1 = kein Niederschlag, 0 = Spuren, weniger als 1/10 mm - nied19 (akt. Tag) + nied07 (Folgetag)",mm
nied07,Niederschlagssumme 19:01 MEZ  Vortag - 07:00 MEZ,"für reine Beobachtungsstationen: 12-stündiger Handniederschlag (KSE): 19 MEZ voriger Tag - 7 MEZ aktueller Tag / für reine Automatenstationen und Stationen mit Beobachtung und Automat: Summe der RR-Minutenwerte: 19:01 MEZ Vortag - 07:00 MEZ / Spuren aus RRM berechnet, wenn vorhanden; -1 = kein Niederschlag, 0 = Spuren (weniger als 1/10 mm) - ""Spuren"": gibt es keine messbare Niederschlagsmenge im entsprechenden Zeitraum, aber mindestens 60 Minuten Niederschlagsregistrierung vom Niederschlagsmelder (gilt bis 1.7.2020 6:00 UTC), ab 1.7.2020 6:01 UTC Änderung auf mindestens 30 Minuten Niederschlagsregistrierung vom Niederschlagsmelder",mm
nied07a,Niederschlagsart 19:01 MEZ Vortag - 07:00 MEZ,"Niederschlagsart, 12stündig - Beobachtung (KSE), Werte 0-15, siehe Code-Tabelle - Tabelle klima.tag_code_niederschlagsart - klima.tag_code_niederschlagsart={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: nicht gemessen}",Code
nied19,Niederschlagssumme 7:01 MEZ - 19:00 MEZ,"für reine Beobachtungsstationen : 12-stündiger Handniederschlag (KSE): 7 MEZ aktueller Tag - 19 MEZ aktueller Tag / für reine Automatenstationen und Stationen mit Beobachtung und Automat: Summe der RR-Minutenwerte: 07:01 MEZ - 19:00 MEZ / Spuren aus RRM berechnet, wenn vorhanden; -1 = kein Niederschlag, 0 = Spuren (weniger als 1/10 mm) - ""Spuren"": gibt es keine messbare Niederschlagsmenge im entsprechenden Zeitraum, aber mindestens 60 Minuten Niederschlagsregistrierung vom Niederschlagsmelder (gilt bis 1.7.2020 6:00 UTC), ab 1.7.2020 6:01 UTC Änderung auf mindestens 30 Minuten Niederschlagsregistrierung vom Niederschlagsmelder",mm
nied19a,Niederschlagsart 7:01 MEZ - 19:00 MEZ,"Niederschlagsart, 12stündig - Beobachtung (KSE), Werte 0-15, siehe Code-Tabelle - Tabelle klima.tag_code_niederschlagsart - klima.tag_code_niederschlagsart={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: nicht gemessen}",Code
nieda,Niederschlagsart 7:01 MEZ - 7:00 MEZ Folgetag,"Niederschlagsart, 24stündig - Beobachtung (KSE), sofern vorhanden: direkt beobachtet 24-stündig oder aus zwei Terminen berechnet: aus nied19a desselben und nied07a des Folgetages - nied19a (aktueller Tag) + nied07a (Folgetag), Tabelle klima.tag_code_niederschlagsart - klima.tag_code_niederschlagsart={0: kein Niederschlag, 1: Regen, 2: Schnee, 3: Graupel, 4: Hagel, 5: Regen und Schnee, 6: Regen und Graupel, 7: Regen und Hagel, 8: Schnee und Graupel, 9: Graupel und Hagel, 10: Regen und Schnee und Graupel, 11: Regen und Graupel und Hagel, 12: Schnee und Hagel, 13: Regen und Schnee und Hagel, 14: Schnee und Graupel und Hagel, 15: Regen und Schnee und Graupel und Hagel, 99: nicht gemessen}",Code
